name,position,team,opponent,salary,projection,ceiling,ownership,status,game,kickoff
PIT WR4,WR,PIT,ATL,6400,4.48,11.62,1.7,,ATL@PIT,1:00 PM ET
PIT TE1,TE,PIT,ATL,5400,10.41,20.02,8.57,,ATL@PIT,1:00 PM ET
PIT TE2,TE,PIT,ATL,4100,12.43,21.57,5.87,,ATL@PIT,1:00 PM ET
PIT DST1,DST,PIT,ATL,3900,5.54,11.47,3.78,,ATL@PIT,1:00 PM ET
CLE QB1,QB,CLE,JAC,7100,22.96,32.85,6.79,,CLE@JAC,1:00 PM ET
CLE RB1,RB,CLE,JAC,6200,9.92,18.55,15.57,,CLE@JAC,1:00 PM ET
CLE RB2,RB,CLE,JAC,5700,16.25,23.99,8.11,,CLE@JAC,1:00 PM ET
CLE WR1,WR,CLE,JAC,7600,10.2,19.88,3.9,,CLE@JAC,1:00 PM ET
CLE WR2,WR,CLE,JAC,5700,12.69,22.21,12.73,,CLE@JAC,1:00 PM ET
CLE WR3,WR,CLE,JAC,6700,5.96,13.69,2.0,,CLE@JAC,1:00 PM ET
CLE WR4,WR,CLE,JAC,7900,9.72,23.1,4.92,,CLE@JAC,1:00 PM ET
CLE TE1,TE,CLE,JAC,3900,9.9,19.66,6.5,,CLE@JAC,1:00 PM ET
CLE TE2,TE,CLE,JAC,4600,8.53,13.69,2.51,,CLE@JAC,1:00 PM ET
CLE DST1,DST,CLE,JAC,3600,8.21,14.19,4.88,,CLE@JAC,1:00 PM ET
JAC QB1,QB,JAC,CLE,6800,23.96,35.26,11.22,,CLE@JAC,1:00 PM ET
JAC RB1,RB,JAC,CLE,4600,17.08,30.97,15.95,,CLE@JAC,1:00 PM ET
JAC RB2,RB,JAC,CLE,4600,15.92,23.0,2.86,,CLE@JAC,1:00 PM ET
JAC WR1,WR,JAC,CLE,5700,19.8,27.73,4.23,,CLE@JAC,1:00 PM ET
JAC WR2,WR,JAC,CLE,3800,17.21,27.91,5.47,,CLE@JAC,1:00 PM ET
JAC WR3,WR,JAC,CLE,7000,4.42,11.56,9.73,,CLE@JAC,1:00 PM ET
JAC WR4,WR,JAC,CLE,4900,8.37,21.52,4.33,,CLE@JAC,1:00 PM ET
JAC TE1,TE,JAC,CLE,3500,12.27,20.18,3.05,,CLE@JAC,1:00 PM ET
JAC TE2,TE,JAC,CLE,5800,10.62,17.59,1.27,,CLE@JAC,1:00 PM ET
JAC DST1,DST,JAC,CLE,3400,7.08,12.25,6.64,,CLE@JAC,1:00 PM ET
TB QB1,QB,TB,CIN,7500,18.63,28.34,6.76,,TB@CIN,1:00 PM ET
TB RB1,RB,TB,CIN,6000,10.79,18.84,18.9,,TB@CIN,1:00 PM ET
TB RB2,RB,TB,CIN,4600,17.79,28.55,6.78,,TB@CIN,1:00 PM ET
TB WR1,WR,TB,CIN,4500,11.7,24.78,14.3,,TB@CIN,1:00 PM ET
TB WR2,WR,TB,CIN,5600,13.56,23.44,4.73,,TB@CIN,1:00 PM ET
TB WR3,WR,TB,CIN,6200,7.5,19.55,9.67,,TB@CIN,1:00 PM ET
TB WR4,WR,TB,CIN,5300,5.62,18.12,5.48,,TB@CIN,1:00 PM ET
TB TE1,TE,TB,CIN,3800,13.43,19.83,6.72,,TB@CIN,1:00 PM ET
TB TE2,TE,TB,CIN,4100,10.02,18.4,3.95,,TB@CIN,1:00 PM ET
TB DST1,DST,TB,CIN,3600,6.99,13.31,8.41,,TB@CIN,1:00 PM ET
CIN QB1,QB,CIN,TB,6200,23.99,32.4,7.34,,TB@CIN,1:00 PM ET
CIN RB1,RB,CIN,TB,5700,9.79,21.05,18.12,,TB@CIN,1:00 PM ET
CIN RB2,RB,CIN,TB,5700,12.78,25.49,9.67,,TB@CIN,1:00 PM ET
CIN WR1,WR,CIN,TB,7900,13.4,25.93,5.79,,TB@CIN,1:00 PM ET
CIN WR2,WR,CIN,TB,5400,10.75,18.07,10.84,,TB@CIN,1:00 PM ET
CIN WR3,WR,CIN,TB,7700,15.02,24.06,9.61,,TB@CIN,1:00 PM ET
CIN WR4,WR,CIN,TB,6900,2.5,14.03,3.38,,TB@CIN,1:00 PM ET
CIN TE1,TE,CIN,TB,4100,9.12,17.18,2.49,,TB@CIN,1:00 PM ET
CIN TE2,TE,CIN,TB,3200,5.15,11.79,2.77,,TB@CIN,1:00 PM ET
CIN DST1,DST,CIN,TB,2700,7.32,11.34,2.24,,TB@CIN,1:00 PM ET
NYJ QB1,QB,NYJ,TEN,6500,17.95,29.56,10.15,,NYJ@TEN,1:00 PM ET
NYJ RB1,RB,NYJ,TEN,6400,14.34,28.31,10.55,,NYJ@TEN,1:00 PM ET
NYJ RB2,RB,NYJ,TEN,6600,10.62,22.19,4.1,,NYJ@TEN,1:00 PM ET
NYJ WR1,WR,NYJ,TEN,5200,19.25,30.0,11.95,,NYJ@TEN,1:00 PM ET
NYJ WR2,WR,NYJ,TEN,4100,17.37,29.77,11.46,,NYJ@TEN,1:00 PM ET
NYJ WR3,WR,NYJ,TEN,4000,12.65,24.33,8.65,,NYJ@TEN,1:00 PM ET
NYJ WR4,WR,NYJ,TEN,5900,4.65,16.33,5.08,,NYJ@TEN,1:00 PM ET
NYJ TE1,TE,NYJ,TEN,3200,13.27,19.38,7.83,,NYJ@TEN,1:00 PM ET
NYJ TE2,TE,NYJ,TEN,4700,9.83,17.29,3.37,,NYJ@TEN,1:00 PM ET
NYJ DST1,DST,NYJ,TEN,3400,9.36,16.73,9.2,,NYJ@TEN,1:00 PM ET
TEN QB1,QB,TEN,NYJ,5700,22.22,29.36,15.0,,NYJ@TEN,1:00 PM ET
TEN RB1,RB,TEN,NYJ,5400,16.22,25.58,19.89,,NYJ@TEN,1:00 PM ET
TEN RB2,RB,TEN,NYJ,4600,17.16,28.15,9.65,,NYJ@TEN,1:00 PM ET
TEN WR1,WR,TEN,NYJ,6800,10.87,22.23,17.68,,NYJ@TEN,1:00 PM ET
TEN WR2,WR,TEN,NYJ,7000,17.36,24.96,3.7,,NYJ@TEN,1:00 PM ET
TEN WR3,WR,TEN,NYJ,5300,5.79,17.15,8.91,,NYJ@TEN,1:00 PM ET
TEN WR4,WR,TEN,NYJ,7800,10.25,19.6,0.91,,NYJ@TEN,1:00 PM ET
TEN TE1,TE,TEN,NYJ,3100,11.78,18.5,4.6,,NYJ@TEN,1:00 PM ET
TEN TE2,TE,TEN,NYJ,5500,11.1,16.17,5.88,,NYJ@TEN,1:00 PM ET
TEN DST1,DST,TEN,NYJ,3700,7.91,12.5,6.88,,NYJ@TEN,1:00 PM ET
NO QB1,QB,NO,DET,7400,24.53,33.65,8.53,,NO@DET,1:00 PM ET
NO RB1,RB,NO,DET,7200,14.41,22.32,16.14,,NO@DET,1:00 PM ET
NO RB2,RB,NO,DET,6100,17.55,27.9,6.41,,NO@DET,1:00 PM ET
NO WR1,WR,NO,DET,5000,15.39,22.4,2.79,,NO@DET,1:00 PM ET
NO WR2,WR,NO,DET,7800,13.2,19.71,8.19,,NO@DET,1:00 PM ET
NO WR3,WR,NO,DET,6800,11.78,18.83,6.81,,NO@DET,1:00 PM ET
NO WR4,WR,NO,DET,4400,10.5,21.25,6.28,,NO@DET,1:00 PM ET
NO TE1,TE,NO,DET,3900,10.94,16.38,3.41,,NO@DET,1:00 PM ET
NO TE2,TE,NO,DET,5900,7.21,14.79,4.35,,NO@DET,1:00 PM ET
NO DST1,DST,NO,DET,3700,9.62,14.94,3.61,,NO@DET,1:00 PM ET
DET QB1,QB,DET,NO,6200,23.97,36.41,13.75,,NO@DET,1:00 PM ET
DET RB1,RB,DET,NO,7500,17.73,28.3,4.16,,NO@DET,1:00 PM ET
DET RB2,RB,DET,NO,7000,10.3,23.53,2.15,,NO@DET,1:00 PM ET
DET WR1,WR,DET,NO,3500,11.96,21.98,16.1,,NO@DET,1:00 PM ET
DET WR2,WR,DET,NO,4700,12.24,24.55,1.93,,NO@DET,1:00 PM ET
DET WR3,WR,DET,NO,5500,4.69,12.98,3.96,,NO@DET,1:00 PM ET
DET WR4,WR,DET,NO,3700,9.28,17.58,4.47,,NO@DET,1:00 PM ET
DET TE1,TE,DET,NO,3000,13.65,20.36,11.23,,NO@DET,1:00 PM ET
DET TE2,TE,DET,NO,4200,6.72,14.18,5.18,,NO@DET,1:00 PM ET
DET DST1,DST,DET,NO,3400,7.6,14.67,3.77,,NO@DET,1:00 PM ET
BUF QB1,QB,BUF,HOU,6700,20.26,32.26,13.7,,BUF@HOU,1:00 PM ET
BUF RB1,RB,BUF,HOU,5000,15.23,22.26,14.25,,BUF@HOU,1:00 PM ET
BUF RB2,RB,BUF,HOU,5300,12.82,24.7,7.07,,BUF@HOU,1:00 PM ET
BUF WR1,WR,BUF,HOU,7100,15.26,23.18,3.02,,BUF@HOU,1:00 PM ET
BUF WR2,WR,BUF,HOU,7800,13.39,20.22,1.72,,BUF@HOU,1:00 PM ET
BUF WR3,WR,BUF,HOU,3800,7.91,16.92,6.08,,BUF@HOU,1:00 PM ET
BUF WR4,WR,BUF,HOU,7000,10.01,23.55,3.94,,BUF@HOU,1:00 PM ET
BUF TE1,TE,BUF,HOU,5800,11.01,18.66,9.58,,BUF@HOU,1:00 PM ET
BUF TE2,TE,BUF,HOU,3600,6.62,13.04,4.49,,BUF@HOU,1:00 PM ET
BUF DST1,DST,BUF,HOU,2900,7.28,11.8,9.6,,BUF@HOU,1:00 PM ET
HOU QB1,QB,HOU,BUF,6200,20.85,28.21,13.64,,BUF@HOU,1:00 PM ET
HOU RB1,RB,HOU,BUF,5900,10.18,18.09,6.94,,BUF@HOU,1:00 PM ET
HOU RB2,RB,HOU,BUF,7600,11.93,22.33,4.47,,BUF@HOU,1:00 PM ET
HOU WR1,WR,HOU,BUF,6700,17.98,30.87,9.0,,BUF@HOU,1:00 PM ET
HOU WR2,WR,HOU,BUF,6900,16.82,29.72,5.66,,BUF@HOU,1:00 PM ET
HOU WR3,WR,HOU,BUF,4500,5.61,15.32,5.84,,BUF@HOU,1:00 PM ET
HOU WR4,WR,HOU,BUF,7200,10.54,17.99,3.79,,BUF@HOU,1:00 PM ET
HOU TE1,TE,HOU,BUF,5800,7.11,13.16,5.99,,BUF@HOU,1:00 PM ET
HOU TE2,TE,HOU,BUF,5800,12.39,20.51,4.81,,BUF@HOU,1:00 PM ET
HOU DST1,DST,HOU,BUF,3300,5.19,9.65,7.89,,BUF@HOU,1:00 PM ET
ARI QB1,QB,ARI,LAC,7400,20.73,28.86,5.51,,ARI@LAC,4:25 PM ET
ARI RB1,RB,ARI,LAC,7200,11.47,24.94,11.55,,ARI@LAC,4:25 PM ET
ARI RB2,RB,ARI,LAC,5300,14.04,27.93,7.55,,ARI@LAC,4:25 PM ET
ARI WR1,WR,ARI,LAC,6300,17.8,27.02,14.64,,ARI@LAC,4:25 PM ET
ARI WR2,WR,ARI,LAC,7500,6.47,16.62,12.83,,ARI@LAC,4:25 PM ET
ARI WR3,WR,ARI,LAC,4400,7.5,13.6,6.47,,ARI@LAC,4:25 PM ET
ARI WR4,WR,ARI,LAC,5900,3.69,17.58,3.41,,ARI@LAC,4:25 PM ET
ARI TE1,TE,ARI,LAC,3000,12.34,17.68,6.3,,ARI@LAC,4:25 PM ET
ARI TE2,TE,ARI,LAC,3800,11.86,20.83,5.46,,ARI@LAC,4:25 PM ET
ARI DST1,DST,ARI,LAC,3900,8.74,14.57,9.72,,ARI@LAC,4:25 PM ET
LAC QB1,QB,LAC,ARI,6700,17.74,27.36,9.23,,ARI@LAC,4:25 PM ET
LAC RB1,RB,LAC,ARI,6700,11.48,21.71,10.78,,ARI@LAC,4:25 PM ET
LAC RB2,RB,LAC,ARI,8100,10.77,21.17,8.02,,ARI@LAC,4:25 PM ET
LAC WR1,WR,LAC,ARI,4700,12.26,24.96,16.9,,ARI@LAC,4:25 PM ET
LAC WR2,WR,LAC,ARI,6800,17.6,30.29,6.69,,ARI@LAC,4:25 PM ET
LAC WR3,WR,LAC,ARI,7400,3.47,17.01,9.6,,ARI@LAC,4:25 PM ET
LAC WR4,WR,LAC,ARI,6000,13.25,22.75,5.51,,ARI@LAC,4:25 PM ET
LAC TE1,TE,LAC,ARI,3900,12.8,19.48,5.84,,ARI@LAC,4:25 PM ET
LAC TE2,TE,LAC,ARI,4200,11.16,19.24,5.55,,ARI@LAC,4:25 PM ET
LAC DST1,DST,LAC,ARI,3100,6.05,11.05,9.37,,ARI@LAC,4:25 PM ET
GB QB1,QB,GB,MIN,6400,20.24,27.5,15.42,,GB@MIN,4:25 PM ET
GB RB1,RB,GB,MIN,5600,11.3,24.63,10.52,,GB@MIN,4:25 PM ET
GB RB2,RB,GB,MIN,4600,12.45,21.32,1.55,,GB@MIN,4:25 PM ET
GB WR1,WR,GB,MIN,6700,13.0,23.99,4.48,,GB@MIN,4:25 PM ET
GB WR2,WR,GB,MIN,3500,12.96,22.07,2.1,,GB@MIN,4:25 PM ET
GB WR3,WR,GB,MIN,6600,4.54,17.24,2.18,,GB@MIN,4:25 PM ET
GB WR4,WR,GB,MIN,7600,7.38,14.93,7.99,,GB@MIN,4:25 PM ET
GB TE1,TE,GB,MIN,5200,6.73,15.77,3.63,,GB@MIN,4:25 PM ET
GB TE2,TE,GB,MIN,5300,9.78,16.58,2.89,,GB@MIN,4:25 PM ET
GB DST1,DST,GB,MIN,3100,8.73,14.22,7.6,,GB@MIN,4:25 PM ET
MIN QB1,QB,MIN,GB,7000,24.97,37.14,13.08,,GB@MIN,4:25 PM ET
MIN RB1,RB,MIN,GB,6100,9.68,20.91,18.36,,GB@MIN,4:25 PM ET
MIN RB2,RB,MIN,GB,7000,15.27,26.26,7.13,,GB@MIN,4:25 PM ET
MIN WR1,WR,MIN,GB,3700,17.48,30.82,10.8,,GB@MIN,4:25 PM ET
MIN WR2,WR,MIN,GB,4300,12.69,20.81,10.58,,GB@MIN,4:25 PM ET
MIN WR3,WR,MIN,GB,4900,7.95,18.79,6.9,,GB@MIN,4:25 PM ET
MIN WR4,WR,MIN,GB,3700,9.57,21.75,6.45,,GB@MIN,4:25 PM ET
MIN TE1,TE,MIN,GB,3300,6.16,14.29,7.43,,GB@MIN,4:25 PM ET
MIN TE2,TE,MIN,GB,4200,6.02,14.07,3.61,,GB@MIN,4:25 PM ET
MIN DST1,DST,MIN,GB,2700,6.03,11.92,8.2,,GB@MIN,4:25 PM ET
MIA QB1,QB,MIA,LV,7300,22.44,31.21,12.92,,MIA@LV,4:25 PM ET
MIA RB1,RB,MIA,LV,7000,19.81,33.05,3.44,,MIA@LV,4:25 PM ET
MIA RB2,RB,MIA,LV,6000,8.75,22.18,6.96,,MIA@LV,4:25 PM ET
MIA WR1,WR,MIA,LV,5800,15.57,21.63,7.14,,MIA@LV,4:25 PM ET
MIA WR2,WR,MIA,LV,5800,16.68,23.97,2.98,,MIA@LV,4:25 PM ET
MIA WR3,WR,MIA,LV,5400,14.51,25.58,7.78,,MIA@LV,4:25 PM ET
MIA WR4,WR,MIA,LV,7500,5.46,17.0,7.72,,MIA@LV,4:25 PM ET
MIA TE1,TE,MIA,LV,3400,7.28,17.12,5.83,,MIA@LV,4:25 PM ET
MIA TE2,TE,MIA,LV,5700,6.32,11.94,4.91,,MIA@LV,4:25 PM ET
MIA DST1,DST,MIA,LV,3300,8.82,14.68,5.56,,MIA@LV,4:25 PM ET
LV QB1,QB,LV,MIA,6100,20.12,29.94,6.67,,MIA@LV,4:25 PM ET
LV RB1,RB,LV,MIA,7600,11.97,23.17,12.15,,MIA@LV,4:25 PM ET
LV RB2,RB,LV,MIA,5300,7.1,16.75,4.38,,MIA@LV,4:25 PM ET
LV WR1,WR,LV,MIA,7000,14.47,21.76,10.31,,MIA@LV,4:25 PM ET
LV WR2,WR,LV,MIA,3800,12.43,22.22,3.41,,MIA@LV,4:25 PM ET
LV WR3,WR,LV,MIA,7100,3.67,11.37,4.59,,MIA@LV,4:25 PM ET
LV WR4,WR,LV,MIA,3600,2.5,9.14,5.17,,MIA@LV,4:25 PM ET
LV TE1,TE,LV,MIA,5000,9.57,19.44,7.67,,MIA@LV,4:25 PM ET
LV TE2,TE,LV,MIA,3200,6.22,11.36,3.9,,MIA@LV,4:25 PM ET
LV DST1,DST,LV,MIA,2800,7.33,11.99,6.79,,MIA@LV,4:25 PM ET
WAS QB1,QB,WAS,PHI,6200,22.8,35.26,6.87,,WAS@PHI,4:25 PM ET
WAS RB1,RB,WAS,PHI,7100,10.58,18.9,18.69,,WAS@PHI,4:25 PM ET
WAS RB2,RB,WAS,PHI,7700,14.1,27.22,9.38,,WAS@PHI,4:25 PM ET
WAS WR1,WR,WAS,PHI,7600,19.47,29.27,10.24,,WAS@PHI,4:25 PM ET
WAS WR2,WR,WAS,PHI,6700,10.82,22.26,8.71,,WAS@PHI,4:25 PM ET
WAS WR3,WR,WAS,PHI,6300,11.73,23.13,7.67,,WAS@PHI,4:25 PM ET
WAS WR4,WR,WAS,PHI,6800,11.32,21.48,1.94,,WAS@PHI,4:25 PM ET
WAS TE1,TE,WAS,PHI,5300,10.98,17.3,10.53,,WAS@PHI,4:25 PM ET
WAS TE2,TE,WAS,PHI,4800,11.1,18.72,3.49,,WAS@PHI,4:25 PM ET
WAS DST1,DST,WAS,PHI,2500,7.76,15.17,6.85,,WAS@PHI,4:25 PM ET
PHI QB1,QB,PHI,WAS,6600,20.62,32.36,10.02,,WAS@PHI,4:25 PM ET
PHI RB1,RB,PHI,WAS,5600,20.58,29.02,11.43,,WAS@PHI,4:25 PM ET
PHI RB2,RB,PHI,WAS,7300,8.14,16.39,2.23,,WAS@PHI,4:25 PM ET
PHI WR1,WR,PHI,WAS,6000,14.34,21.35,7.17,,WAS@PHI,4:25 PM ET
PHI WR2,WR,PHI,WAS,5200,10.2,20.83,10.06,,WAS@PHI,4:25 PM ET
PHI WR3,WR,PHI,WAS,7400,5.24,15.77,7.43,,WAS@PHI,4:25 PM ET
PHI WR4,WR,PHI,WAS,6100,8.88,20.42,2.05,,WAS@PHI,4:25 PM ET
PHI TE1,TE,PHI,WAS,5900,10.5,18.19,6.97,,WAS@PHI,4:25 PM ET
PHI TE2,TE,PHI,WAS,5500,8.75,18.42,2.79,,WAS@PHI,4:25 PM ET
PHI DST1,DST,PHI,WAS,3400,8.9,15.49,6.01,,WAS@PHI,4:25 PM ET
